No;Kode;Nama;Alamat;latitude;longitude
112;402587;MAWAR;JOKOTOLE GONDANG KULON-GONDANG;-7.527222;111.95143
113;494412;NUR RIZKY SOZIS;Dsn Sembung Ds Campur;-7.527187;111.950881
114;494557;TOKO ZIDA;DSN DEPOK RTRW  0302;-7.573468432;111.9537787
115;494637;BU SUMIJIAH;DSN PULO DS CAMPUR;-7.536152117;111.9496321
116;494638;FARKHA MART;DSN NGASEM RT 02 RW 02;-7.553129035;111.9519382
117;494644;YATMINI;DSN KARANG SEMI  RTRW 0704;-7.566199029;111.9956012
118;494647;RAFFA JAYA;DS DEPOK   RTRW   0101   SUMBEREJO;-7.571381552;111.9543363
119;494667;SUKARTI;DS MOJOREMBUN RT 01 RW 02;-7.581524;111.9220151
120;494672;JAMI;DS NGLINGGO - GONDANG;-7.5661079;111.9734191
121;494787;BU DIAN;TINAMPUH;-7.532180734;111.9505127
122;494978;HAMDALAH TOKO;CAMPUR;-7.53565;111.949795
123;494979;BU LAS;CAMPUR;-7.535727;111.949809
124;494980;BU TININGSIH;PULO - CAMPUR;-7.540468;111.949469
125;494981;BU JUJUK;NGASEM;-7.554855;111.951936
126;494983;HARTO;DS.DEPOK KIDUL ZIDA;-7.5740811;111.953746
127;494984;TIRTA AGUNG;DS. BALONG GLAGAH;-7.546577;111.950267
128;494985;TK. SITI;DS. DEPOK;-7.573077;111.952243
129;494987;TK ASTI;CAMPUR SUKOMORO;-7.530663;111.950469
130;494982;BU WIWIK;NGRAMI - SUKOMORO;-7.583477;111.9461
131;493841;KANTIN PONDOK BAITUNNUR;KAPAS;-7.527628;111.951176
132;403674;MAS BUDI;KAPAS SUKOMORO;-7.568663;111.99796
133;403516;SUKANDAR;LINGK. JATIREJO DS.KAPAS;-7.610563;111.943023
134;493720;JILON;SEMENGKO;-7.613054;111.96132
135;494524;POJOK  BU YUNI;BLITARAN RTRW002004;-7.612710235;111.9607193
136;494539;SITI MARIYAM;DSN SEMBUNG RTRW  002004;-7.611982792;111.9607665
